faq_id,faq_added_utc,faq_updated_utc,faq_author,content_title,content_text,tags,faq_thresholds,faq_weight,faq_questions,faq_contexts
1,1649337561000,1663239625854,IDinsight,Tummy cramps in pregnancy,"*Most tummy pains during pregnancy are normal – but some are not*

Some cramps and/or discomfort in the tummy are usual during pregnancy. Cramping happens when the womb (uterus) grows🤰🏽. This stretches ligaments and muscles supporting the womb. It can be more noticeable when you sneeze, cough, or change positions.

During the second trimester, cramping is usually because of round ligament pain. This feels like a sharp, jabbing pain 💢 on one or both sides of your belly.

During the third trimester, you can experience Braxton hicks contractions. These are practice contractions that prepare your body for your upcoming birth. Braxton hicks contractions are usually irregular, both in how strong and how long they are.

*What to do*
Never ignore strong or constant abdominal pain. The difference between a cramp and pain could be confusing, so don't hesitate to go to the clinic if you are worried.

Go to the clinic if the pain gets worse or continues for several minutes – or if you have any of the following symptoms:
- spotting or bleeding 🩸
- unusual vaginal discharge 💧
- chills or fever 🤒
- faintness 💫
- discomfort while urinating 😓
- nausea and vomiting 🤢","['stomach', 'pain', 'contractions']","[0.1, 0.1, 0.1]",1,,
2,1649337564000,1663861815785,IDinsight,Backache in pregnancy,"*Ways to manage back pain during pregnancy*

Pain or aching 💢 in the back is common during pregnancy. Throughout your pregnancy the hormone relaxin is released. This hormone relaxes the tissue that holds your bones in place in the pelvic area. This allows your baby to pass through you birth canal easier during delivery. These changes together with the added weight of your womb can cause discomfort 😓 during the third trimester.

*What to do*
- Place a hot water bottle 🌡️ or ice pack 🧊 on the painful area.
- When you sit, use a chair with good back support 🪑, and sit with both feet on the floor.
- Get regular exercise🚶🏽‍♀️and stretch afterwards.
- Wear low-heeled 👢(but not flat ) shoes with good arch support.
- To sleep better 😴, lie on your side and place a pillow between your legs, with the top leg on the pillow.

If the pain doesn't go away or you have other symptoms, visit the clinic.

Tap the link below for:
*More info about Relaxin:
https://www.yourhormones.info/hormones/relaxin/","['back', 'pain', 'ache']","[0.1, 0.1, 0.1]",1,,
3,1649337568000,1663862161221,IDinsight,Headache in pregnancy,"*Headache during pregnancy is normal – except after 20 weeks*

During the first trimester, your body experiences a surge of hormones and an increase in blood volume. These two changes can cause more frequent headaches during pregnancy🤰🏽. But after 20 weeks of pregnancy, a bad headache could mean pre-eclampsia. This is a serious pregnancy condition.

Normal headaches 🤕 can be from lack of sleep, sinus infection, allergies, eye strain, stress, depression, hunger or dehydration, flickering or bright lights, loud noises, tobacco smoke, and strong smells.

*What to do*
- Go to the clinic to be prescribed safe medication for your pain 💊
- Have a shower or splash cold water on your face 💦
- Drink lots of water 🚰
- Eat regular meals 🍛
- Get good sleep 😴
- Stay physically active 🚶🏽‍♀️

*Signs of pre-eclampsia*
Pre-eclampsia may need hospitalisation. *Please go straight to the clinic* if you experience any of the signs of pre-eclampsia, including:
- a headache that doesn't go away
- sudden or severe swelling on your face, hands or feet
- blurred vision or seeing flashing lights
- severe pain just below your ribs
- nausea and vomiting.

","['head', 'pain', 'eclampsia', 'swelling', 'normal']","[0.1, 0.1, 0.1, 0.1, 0.1]",1,,
4,1649337569000,1664875404615,IDinsight,Toothache in pregnancy,"*Yes, pregnancy can cause toothache*

Aches and pains 💢 in the teeth or gums are common in pregnancy. Hormones soften your gums and increase the blood supply, which can lead to inflammation and swollen, bleeding gums (gingivitis).

A build-up of mucus in the sinuses during nasal congestion or allergies like sinusitis 👃🏽, may cause pressure on the gums resulting in painful teeth.

*What to do*
Pregnancy hormones reduce your body's natural ability to control the build-up of germs (plaque) on your teeth 🦷. Brush teeth *twice daily* to prevent gingivitis – or a serious gum disease called periodontitis.","['teeth', 'ache', 'pregnant', 'gums']","[0.1, 0.1, 0.1, 0.1, 0.1]",1,,
5,1649337570000,1663770488815,IDinsight,Heartburn in pregnancy,"*Ways to manage heartburn in pregnancy*

Indigestion (heartburn) ❤️‍🔥 is common in pregnancy. Heartburn happens due to hormones and the growing baby pressing on your stomach. You may feel gassy and bloated, bring up food, experience nausea or a pain in the chest.

*What to do*
- Drink peppermint tea ☕ (pour boiled water over fresh or dried mint leaves) to manage indigestion.
- Wear loose-fitting clothes 👚 to feel more comfortable.

*Prevent indigestion*
- Rather than 3 large meals daily, eat small meals more often.
- Sit up straight when you eat and eat slowly.
- Don't lie down directly after eating.
- Avoid acidic, sugary, spicy 🌶️ or fatty foods and caffeine.
- Don't smoke or drink alcohol 🍷 (these can cause indigestion and harm your baby).","['heartburn', 'nausea', 'ache', 'acid', 'indigestion']","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",1,,
6,1649337571000,1663771124516,IDinsight,Leg cramps in pregnancy,"*Some leg cramps are normal during pregnancy*

Leg cramps are common in pregnancy and mostly harmless. However if you notice swelling or redness in your leg, go to the clinic. In rare cases you could have a blood clot in a vein that requires medical attention 🧑🏽‍⚕️. This is called deep vein thrombosis (DTV).

*What to do*
- Straighten your leg and gently move your toes toward your knee 🦶🏽⬆️.
- Standing on a cold surface can stop cramping, an ice pack 🧊 may also help.
- Look out for pain or swelling in the leg, changes in skin colour or a vein that looks bigger than normal – if you see any of these, go to the clinic 🏥.

*Prevention*
- Avoid standing or sitting cross-legged for a long time,
- When sitting, rotate your ankles and wriggle your toes,
- Before bed, stretch your calf muscles by pointing and flexing each foot,
- Drink lots of water and eat food containing calcium (yoghurt) and magnesium (bananas).","['leg', 'cramps', 'spasm', 'stiff']","[0.1, 0.1, 0.1, 0.1]",1,,
7,1649337572000,1665659376691,IDinsight,Vaginal discharge during labour,"*A jelly-like discharge may be the start of labour*

The first sign of labour may be a sticky, jelly-like discharge called a mucus plug. This discharge may be mixed with a little blood 🩸. The mucus plug normally sits at the entrance to your womb (or cervix) to keep bacteria 🦠 out. As your body starts to prepare for birth, your cervix starts to open and the mucus plug may come out. Although this could be an early sign of labour, it may still be a few days before the actual labour starts.

*What to do*
- Wait for contractions to start.

*Reasons to go to the clinic or hospital* 🏥
- If you are bleeding or if the colour of the mucus plug is green,
- If you don't feel your baby move,
- If your contractions have started,
- If your water breaks,
- If you are concerned.","['mucus', 'plug', 'sticky', 'discharge', 'water', 'labour']","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",1,,
8,1649337573000,1663770722517,IDinsight,Labour contractions,"*Labour contractions feel like period pains*

For most women, the first sign of labour is contractions. Contractions are cramps of the womb that start in your lower belly and feel like strong period pains. 💢 You will feel your womb becoming hard and painful. Some women will also have lower back pain during contractions.

*Early labour*
At the start of labour, your contractions will be short and spaced apart. They are usually mild and you can go about your day as normal. As time passes, you will start to feel the contractions growing longer, closer together and more painful. This is when you should start to time your contractions.

Make a note of how long each contraction is from start to finish. Also note how much time passes between the start of one contraction and the start of the next contraction. ⏱️

*Active Labour*
When contractions start to become more regular, longer and painful, then you are in active labour. If, during these contractions, you cannot focus on anything else 😖 – then it's time to go to the hospital.

*What to do*
During early labour you can go about your day as usual. Continue to eat and drink. To help you cope with the pain, have a bath or shower. 🛀🏽 Breathing exercises and movement like walking around also help with the pain.🚶🏽‍♀️ You only need to go to the clinic/hospital when you are in active labour.

*Reasons to go to the clinic or hospital* 🏥
- If your contractions come every five minutes and each one lasts for 1 minute,
- If you have labour symptoms before you're 37 weeks pregnant,
- If your baby is moving less than usual,
- If your waters have broken,
- If you're bleeding,
- If you're concerned.","['contractions', 'labour', 'period']","[0.1, 0.1, 0.1]",1,,
9,1649337574000,1663770744710,IDinsight,Waters breaking in labour,"*Go to the hospital when your waters break*

Sometimes labour will start with the breaking of the waters. 💦 During your pregnancy, baby is safely protected in your womb by a sack of waters. During labour, this sack will either break by itself or the nurse/midwife will break it for you.

When your waters break, it will feel like a *gush or a trickle* that you cannot control. The water should be clear without any colour. There may be some bloody 🩸 discharge. If the water is green, brown or bloody, your baby may be in distress.

*What to do*
- Wear a sanitary pad in your underwear to catch the water. The nurse/midwife 👩🏽‍⚕️ at the clinic/hospital will want to check the colour and smell.

*Reasons to go to the clinic or hospital* 🏥
- If your waters break.","['water', 'break', 'flow']","[0.1, 0.1, 0.1]",1,,
10,1649337574000,1665740082549,IDinsight,Stages of labour,"*Labour progresses through four stages*

The four stages of labour will each feel very different. Having your first baby usually takes longer than if you gave birth before, but labour is unlikely to last more than 18 hours.

*Early labour*
This is the first part of you labour and usually the longest. The entrance to your womb (the cervix) starts to shorten, soften and open up. Contractions are mild, short and spaced apart and often feel like period pains or lower back pain. 💢 You can still focus on other things while having contractions. Continue to eat 🥙 and drink 🚰.

*Active labour*
When your cervix is about 4 cm open, you are considered to be in the active stage of labour. This stage normally lasts about 6 hours. During active labour, your contractions become stronger, longer and more frequent. You now need to focus on the contractions. As the pain intensifies, some women will start to breathe 🌬️ or moan through the contractions.

*Pushing stage*
Once your cervix is fully dilated (10cm), you will be encouraged to push. For a first-time mom, pushing can last up to 2 hours. If you had a baby before, the pushing is normally a lot quicker.

During the pushing stage, your body starts to actively push your baby down and out. You will feel like you need to poo (bear down). As baby's head comes out of the vagina, you may experience a burning sensation. This is called the ring of fire. 🔥 You are now just a few contractions away from delivering your baby.

*Placenta stage*
The placenta is an organ that develops in your uterus during pregnancy. It brings oxygen and food to your baby.
After your baby is born, you will need to deliver the placenta. This usually happens within 1 hour after birth. During delivery of the placenta, you will feel period pains 💢 and you will be asked to push.","['labour', 'stages', 'pains', 'water', 'discharge', 'contraction']","[0.1, 0.1, 0.1]",1,,
